Date,Ref,S3,S4,S1,S2
13.06.2021 23:00,7.5,4.99,5.33,2.51,2.17
14.06.2021 00:00,6,4.69,4.22,1.31,1.78
14.06.2021 01:00,5.1,4.07,4.45,1.03,0.65
14.06.2021 02:00,5.1,4.1,3.99,1,1.11
14.06.2021 03:00,5.2,3.62,4.17,1.58,1.03
14.06.2021 04:00,5.2,4.25,4.15,0.95,1.05
14.06.2021 05:00,5.2,4.62,4.38,0.58,0.82
14.06.2021 06:00,5.9,4.43,4.23,1.47,1.67
14.06.2021 07:00,6.4,4.18,4.44,2.22,1.96
14.06.2021 08:00,6.1,4.9,4.41,1.2,1.69
14.06.2021 09:00,6.2,4.62,4.91,1.58,1.29
14.06.2021 10:00,6.9,4.84,4.78,2.06,2.12
14.06.2021 11:00,7.3,5.07,5.96,2.23,1.34
14.06.2021 12:00,7.4,5.25,4.95,2.15,2.45
14.06.2021 13:00,7.2,5.16,5.39,2.04,1.81
14.06.2021 14:00,6.4,4.18,4.21,2.22,2.19
14.06.2021 15:00,5.7,4.54,4.24,1.16,1.46
14.06.2021 16:00,4.8,3.09,3.86,1.71,0.94
14.06.2021 17:00,4.3,3.29,3.28,1.01,1.02
14.06.2021 18:00,4.2,3.36,3.37,0.84,0.83
14.06.2021 19:00,4.4,3.07,3.65,1.33,0.75
14.06.2021 20:00,4.4,3.67,3.16,0.73,1.24
14.06.2021 21:00,5,3.86,3.77,1.14,1.23
14.06.2021 22:00,6.3,4.59,4.73,1.71,1.57
14.06.2021 23:00,6.6,4.96,5.05,1.64,1.55
15.06.2021 00:00,7,4.66,4.43,2.34,2.57
15.06.2021 01:00,6.2,4.88,5.19,1.32,1.01
15.06.2021 02:00,6.1,4.78,4.37,1.32,1.73
15.06.2021 03:00,6.3,5.07,4.86,1.23,1.44
15.06.2021 04:00,6.4,5.21,5.32,1.19,1.08
15.06.2021 05:00,6.7,4.82,5.09,1.88,1.61
15.06.2021 06:00,7.3,5.52,5.7,1.78,1.6
15.06.2021 07:00,7.7,6,6.03,1.7,1.67
15.06.2021 08:00,8,5.93,5.72,2.07,2.28
15.06.2021 09:00,8.5,5.63,5.89,2.87,2.61
15.06.2021 10:00,7.9,4.65,5.55,3.25,2.35
15.06.2021 11:00,6.8,4.51,4.36,2.29,2.44
15.06.2021 12:00,5.4,3.81,4.02,1.59,1.38
15.06.2021 13:00,4.5,3.57,4.09,0.93,0.41
15.06.2021 14:00,3.7,3.29,3.01,0.41,0.69
15.06.2021 15:00,3.5,3.53,3.21,0.03,0.29
15.06.2021 16:00,3.9,3.39,3.4,0.51,0.5
15.06.2021 17:00,4.1,3.56,3.13,0.54,0.97
15.06.2021 18:00,4.1,3.42,3.99,0.68,0.11
15.06.2021 19:00,4.5,3.74,4.07,0.76,0.43
15.06.2021 20:00,4.8,3.25,3.51,1.55,1.29
15.06.2021 21:00,5.4,4.22,4.23,1.18,1.17
15.06.2021 22:00,6.9,4.06,5.06,2.84,1.84
15.06.2021 23:00,7.5,5.01,5.36,2.49,2.14
16.06.2021 00:00,7,4.45,5.19,2.55,1.81
16.06.2021 01:00,6.1,4.61,4.51,1.49,1.59
16.06.2021 02:00,6.3,5.27,5.09,1.03,1.21
16.06.2021 03:00,6.4,4.89,4.82,1.51,1.58
16.06.2021 04:00,6.4,4,5.02,2.4,1.38
16.06.2021 05:00,6.5,5.04,5.04,1.46,1.46
16.06.2021 06:00,6.8,5.31,5.49,1.49,1.31
16.06.2021 07:00,7.7,5.38,5.03,2.32,2.67
16.06.2021 08:00,7.7,5.8,4.95,1.9,2.75
16.06.2021 09:00,7.1,4.49,5.62,2.61,1.48
16.06.2021 10:00,6.9,4.96,5.51,1.94,1.39
16.06.2021 11:00,7.9,4.93,5.72,2.97,2.18
16.06.2021 12:00,7.7,5.21,5.79,2.49,1.91
16.06.2021 13:00,6.8,4,5.28,2.8,1.52
16.06.2021 14:00,5.3,3.83,3.79,1.47,1.51
16.06.2021 15:00,5.2,3.57,3.69,1.63,1.51
16.06.2021 16:00,4.8,3.41,3.62,1.39,1.18
16.06.2021 17:00,4.5,3.49,3.98,1.01,0.52
16.06.2021 18:00,5.2,4.34,4.06,0.86,1.14
16.06.2021 19:00,5.5,4.13,4.54,1.37,0.96
16.06.2021 20:00,6.4,4.35,4.38,2.05,2.02
16.06.2021 21:00,6.9,3.99,4.67,2.91,2.23
16.06.2021 22:00,7.7,5.02,5.16,2.68,2.54
16.06.2021 23:00,9.2,5.71,6.13,3.49,3.07
17.06.2021 00:00,9.2,5.62,6.34,3.58,2.86
17.06.2021 01:00,9.1,5.92,6.49,3.18,2.61
17.06.2021 02:00,8.3,5.24,6.03,3.06,2.27
17.06.2021 03:00,7.9,5.05,5.97,2.85,1.93
17.06.2021 04:00,7.8,5.82,5.96,1.98,1.84
17.06.2021 05:00,8.4,5.35,5.47,3.05,2.93
17.06.2021 06:00,9.6,6.09,6.93,3.51,2.67
17.06.2021 07:00,10.8,7.38,7.46,3.42,3.34
17.06.2021 08:00,11.8,6.93,7.18,4.87,4.62
17.06.2021 09:00,13,8.15,8.9,4.85,4.1
17.06.2021 10:00,12.9,8.38,9.18,4.52,3.72
17.06.2021 11:00,14.1,9.11,10.17,4.99,3.93
17.06.2021 12:00,14.9,8.92,10.24,5.98,4.66
17.06.2021 13:00,13,8.72,8.71,4.28,4.29
17.06.2021 14:00,13.6,7.39,8.99,6.21,4.61
17.06.2021 15:00,12.5,7.79,8.87,4.71,3.63
17.06.2021 16:00,12,7.67,7.69,4.33,4.31
17.06.2021 17:00,11.3,7.78,8.36,3.52,2.94
17.06.2021 18:00,9.9,6.68,7.07,3.22,2.83
17.06.2021 19:00,10.4,7.48,7.27,2.92,3.13
17.06.2021 20:00,11.8,27.24,8.85,15.44,2.95
17.06.2021 21:00,27,6.34,27.35,20.66,0.35
17.06.2021 22:00,12.7,7.58,7.33,5.12,5.37
